Timestamp,MetricID,Value,Trend_Mean,Variance,Z_Score,PRB_Limit,ControlActions
1770029768.397281,DRB.UEThpDl,0.0,24.10,9875.29,-0.24,94,6
1770029768.3976223,DRB.UEThpUl,0.0,11.00,852.80,-0.38,94,6
1770029769.3972907,DRB.UEThpDl,0.0,24.10,9875.29,-0.24,99,6
1770029769.3976738,DRB.UEThpUl,0.0,11.00,852.80,-0.38,99,6
1770029770.397458,DRB.UEThpDl,0.0,24.10,9875.29,-0.24,100,6
1770029770.3977933,DRB.UEThpUl,0.0,11.00,852.80,-0.38,100,6
1770029771.3970785,DRB.UEThpDl,0.0,24.10,9875.29,-0.24,100,6
1770029771.397392,DRB.UEThpUl,3.0,11.15,849.93,-0.28,100,6
1770029772.3974175,DRB.UEThpDl,5.0,24.35,9864.43,-0.19,100,6
1770029772.3978214,DRB.UEThpUl,0.0,11.15,849.93,-0.38,100,6
1770029773.3971312,DRB.UEThpDl,0.0,24.35,9864.43,-0.25,100,6
1770029773.3974314,DRB.UEThpUl,0.0,11.15,849.93,-0.38,100,6
1770029774.3971894,DRB.UEThpDl,0.0,24.35,9864.43,-0.25,100,6
1770029774.3975146,DRB.UEThpUl,0.0,11.15,849.93,-0.38,100,6
1770029775.3971376,DRB.UEThpDl,0.0,24.35,9864.43,-0.25,100,6
1770029775.3974588,DRB.UEThpUl,0.0,11.15,849.93,-0.38,100,6
1770029776.3970094,DRB.UEThpDl,0.0,24.35,9864.43,-0.25,100,6
1770029776.3973176,DRB.UEThpUl,0.0,11.15,849.93,-0.38,100,6
1770029777.3972101,DRB.UEThpDl,0.0,24.35,9864.43,-0.25,100,6
1770029777.3975437,DRB.UEThpUl,0.0,11.15,849.93,-0.38,100,6
1770029778.3974507,DRB.UEThpDl,0.0,24.35,9864.43,-0.25,100,6
1770029778.3977754,DRB.UEThpUl,0.0,11.15,849.93,-0.38,100,6
1770029779.397057,DRB.UEThpDl,0.0,24.35,9864.43,-0.25,100,6
1770029779.397357,DRB.UEThpUl,0.0,11.15,849.93,-0.38,100,6
1770029780.3972735,DRB.UEThpDl,0.0,24.35,9864.43,-0.25,100,6
1770029780.397589,DRB.UEThpUl,0.0,11.15,849.93,-0.38,100,6
1770029781.397318,DRB.UEThpDl,0.0,23.85,9883.53,-0.24,100,6
1770029781.3976622,DRB.UEThpUl,0.0,6.50,499.55,-0.29,100,6
1770029782.3973505,DRB.UEThpDl,0.0,1.00,8.90,-0.34,100,6
1770029782.3977277,DRB.UEThpUl,0.0,1.45,29.65,-0.27,100,6
1770029783.397053,DRB.UEThpDl,0.0,0.35,1.33,-0.30,100,6
1770029783.3973494,DRB.UEThpUl,0.0,0.20,0.46,-0.29,100,6
1770029784.3973336,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,6
1770029784.3987372,DRB.UEThpUl,0.0,0.15,0.43,-0.23,100,6
1770029785.3970933,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,6
1770029785.3974056,DRB.UEThpUl,0.0,0.15,0.43,-0.23,100,6
1770029786.3970873,DRB.UEThpDl,0.0,0.25,1.19,-0.23,100,6
1770029786.3974025,DRB.UEThpUl,15.0,0.90,10.89,4.27,100,6
